REGION ALPES,19024
REGION ALSACE,49789
REGION AUVERGNE,7707
REGION BOURGOGNE FRANCHE-COMTE,9084
REGION BRETAGNE,54198
REGION CENTRE,25750
REGION CHAMPAGNE-ARDENNE,2600
REGION DE PARIS RIVE GAUCHE,69736
REGION DE PARIS SAINT-LAZARE,34681
REGION DE PARIS-EST,21203
REGION DE PARIS-NORD,94758
REGION DE PARIS-SUD-EST,66606
REGION LANGUEDOC-ROUSSILLON,30089
REGION LIMOUSIN,6042
REGION LORRAINE,15575
REGION MIDI PYRENEES,19514
REGION NORD PAS DE CALAIS,41929
REGION NORMANDIE,23487
REGION PAYS DE LA LOIRE,39774
REGION PICARDIE,4407
REGION POITOU-CHARENTES AQUITAINE,60958
REGION PROVENCE ALPES COTE D'AZUR,56413
REGION RHONE-ALPES,43578
,280
