date;date_restitution;gare;nature_objets;type_objets
2020-09-03T23:02:11+02:00;;;;Valise, sac sur roulettes
2020-09-04T10:54:21+02:00;2020-09-25T11:54:57+02:00;;;Appareil photo, caméscope/caméras et accessoires protégé (sac, sacoche,…)
2018-02-06T10:39:43+01:00;;;;Chaussures de ski, patins à glace
2018-02-06T13:04:58+01:00;;;;Manteau, veste, blazer, parka, blouson, cape
2018-02-06T17:36:45+01:00;;;;Chaussures (autre que chaussures de ski et patins)
2018-02-09T09:59:45+01:00;;;;Sac à dos
2018-02-09T10:24:55+01:00;;;;Sac de voyage, sac de sport, sac à bandoulière
2019-12-17T15:52:16+01:00;2020-01-14T12:48:42+01:00;;;Sac de voyage, sac de sport, sac à bandoulière
2018-06-18T09:57:12+02:00;;;;Carte d'identité, passeport, permis de conduire
2018-06-18T10:02:27+02:00;;;;Carte d'identité, passeport, permis de conduire
2018-06-13T12:17:19+02:00;;;;Attaché-case, serviette
2018-06-18T09:56:07+02:00;2018-06-26T13:03:37+02:00;;;Carte d'identité, passeport, permis de conduire
2019-08-26T09:49:55+02:00;;;;Téléphone portable
2019-08-27T11:01:52+02:00;;;;Porte-monnaie, portefeuille
2019-09-03T20:54:07+02:00;;;;Valise, sac sur roulettes
2019-09-03T20:58:21+02:00;;;;Sac de voyage, sac de sport, sac à bandoulière
2019-09-04T19:15:19+02:00;;;;Carte de crédit
2019-09-17T18:38:07+02:00;;;;Valise, sac sur roulettes
2018-02-06T09:56:03+01:00;;;;Trottinette
2018-02-06T14:22:07+01:00;;;;Téléphone portable
2018-02-06T15:26:53+01:00;;;;Ordinateur, ordinateur portable, notebook
2018-02-06T17:08:58+01:00;;;;Sac de voyage, sac de sport, sac à bandoulière
2018-02-06T17:25:13+01:00;;;;Sac de voyage, sac de sport, sac à bandoulière
2018-02-09T10:16:19+01:00;;;;Sac de voyage, sac de sport, sac à bandoulière
2018-05-02T17:32:27+02:00;;;;Téléphone portable
2020-02-05T10:39:46+01:00;;;;Autres appareils et accessoires électroniques
2018-02-06T11:21:38+01:00;;;;Violon
2018-02-06T12:34:31+01:00;;;;Autres divers
2018-02-06T15:45:26+01:00;;;;Manteau, veste, blazer, parka, blouson, cape
2018-02-09T10:20:46+01:00;;;;Sac à dos
2019-08-22T18:20:41+02:00;;;;Carte d'identité, passeport, permis de conduire
2019-08-31T10:48:21+02:00;2021-01-06T07:14:46+01:00;;;Valise, sac sur roulettes
2018-02-06T16:47:55+01:00;;;;Sac de voyage, sac de sport, sac à bandoulière
2018-02-06T18:04:11+01:00;;;;Landau, poussette d'enfants
2019-09-02T19:16:33+02:00;;;;Téléphone portable protégé (étui, coque,…)
2019-09-04T13:28:10+02:00;2019-09-05T17:49:33+02:00;;;Téléphone portable
2019-05-06T14:35:54+02:00;2019-05-07T10:15:26+02:00;;;Sac à dos
